{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.5, 'aceleracion_x': -0.7, 'aceleracion_y': -0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.5, 'gyro_y': 0.7, 'gyro_z': -0.4, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 233095.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.5, 'aceleracion_x': -0.7, 'aceleracion_y': -0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.5, 'gyro_y': 0.7, 'gyro_z': -0.4, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 233095.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.6, 'aceleracion_x': -0.7, 'aceleracion_y': -0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.6, 'gyro_y': 2.5, 'gyro_z': 0.5, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 235640.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.4, 'aceleracion_x': -0.7, 'aceleracion_y': -0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.7, 'gyro_y': 1.6, 'gyro_z': 0.4, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 236095.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.6, 'aceleracion_x': -0.7, 'aceleracion_y': -0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.7, 'gyro_y': 2.4, 'gyro_z': 1.3, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 236550.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.7, 'aceleracion_x': -0.7, 'aceleracion_y': -0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.7, 'gyro_y': 3.8, 'gyro_z': 0.4, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 236821.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.7, 'aceleracion_x': -0.7, 'aceleracion_y': 0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.4, 'gyro_y': 1.8, 'gyro_z': 0.9, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 237276.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.7, 'aceleracion_x': -0.7, 'aceleracion_y': -0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.4, 'gyro_y': 1.2, 'gyro_z': 0.7, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 237730.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.7, 'aceleracion_x': -0.7, 'aceleracion_y': -0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.4, 'gyro_y': -0.2, 'gyro_z': 1.2, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 238001.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.5, 'aceleracion_x': -0.7, 'aceleracion_y': -0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.6, 'gyro_y': 0.9, 'gyro_z': 1.0, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 238456.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.4, 'aceleracion_x': -0.7, 'aceleracion_y': -0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.6, 'gyro_y': 0.1, 'gyro_z': 0.2, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 238911.0}
